0.4	0.0	-0.0	-0j	32.22295437393828	5.5984594609574225	37.8214138348957
0.4	0.04	-144.6317041690055	(7.915717472057639e-11+0j)	385404961.32943624	165.7431427023326	385405127.07257897
0.4	0.08	-289.263408338011	(3.1662869888230556e-10+0j)	5017744147.700766	358.8831385037956	5017744506.583904
0.4	0.12	-433.8951125070164	(7.124145724851873e-10+0j)	18885325541.820614	5136.055196430688	18885330677.87581
0.4	0.16	-578.526816676022	(1.2665147955292223e-09+0j)	42411288008.34661	21176.893108908283	42411309185.23972
0.4	0.2	-723.1585208450274	(1.9789293680144094e-09+0j)	73002473969.56668	57833.02242052757	73002531802.5891
0.4	0.24	-867.7902250140328	(2.8496582899407494e-09+0j)	108419266274.40775	127128.44424699349	108419393402.85199
0.4	0.28	-1012.4219291830384	(3.878701561308245e-09+0j)	148075505603.31665	243759.2129616826	148075749362.5296
0.4	0.32	-1157.053633352044	(5.066059182116889e-09+0j)	192890312234.59976	425093.404938251	192890737328.0047
0.4	0.36	-1301.6853375210492	(6.411731152366688e-09+0j)	244789819917.21405	691171.1121852738	244790511088.32623
0.4	0.4	-1446.3170416900548	(7.915717472057638e-09+0j)	306392136837.21906	1064704.4405062983	306393201541.65955
0.4	0.44	-1590.9487458590602	(9.578018141189744e-09+0j)	380917542827.7657	1571077.5088414291	380919113905.27454
0.4	0.48	-1735.5804500280656	(1.1398633159762997e-08+0j)	471504171990.72815	2238346.4489945704	471506410337.1771
0.4	0.52	-1880.2121541970714	(1.3377562527777408e-08+0j)	582052929638.1635	3097239.405507621	582056026877.569
0.4	0.56	-2024.8438583660768	(1.551480624523298e-08+0j)	716591409267.0469	4181156.5355974175	716595590423.5825
0.4	0.6	-2169.475562535082	(1.7810364312129688e-08+0j)	879422080208.7413	5526170.009121959	879427606378.7505
0.4	0.64	-2314.107266704088	(2.0264236728467556e-08+0j)	1075120503629.2325	7171024.008561375	1075127674653.2411
0.4	0.68	-2458.7389708730934	(2.287642349424658e-08+0j)	1308536774987.5723	9157134.72900661	1308545932122.3013
0.4	0.72	-2603.3706750420984	(2.564692460946675e-08+0j)	1584798308565.1367	11528590.378152514	1584809837155.515
0.4	0.76	-2748.002379211104	(2.857574007412808e-08+0j)	1909313015320.8767	14332151.176293435	1909327347472.053
0.4	0.8	-2892.6340833801096	(3.166286988823055e-08+0j)	2287772412589.1587	17617249.356320366	2287790029838.515
0.4	0.84	-3037.265787549115	(3.4908314051774186e-08+0j)	2726154459394.1675	21435989.16371903	2726175895383.331
0.4	0.88	-3181.8974917181204	(3.8312072564758975e-08+0j)	3230726043827.7607	25843146.856568497	3230751886974.617
0.4	0.92	-3326.529195887126	(4.1874145427184905e-08+0j)	3808045115898.3477	30896170.705540348	3808076012069.053
0.4	0.96	-3471.160900056131	(4.559453263905199e-08+0j)	4464962490848.126	36655180.993897974	4464999146029.12
0.4	1.0	-3615.792604225137	(4.947323420036024e-08+0j)	5208623360657.75	43182970.01749613	5208666543627.768
0.4	1.04	-3760.424308394143	(5.3510250111109634e-08+0j)	6046468554379.603	50545002.08478053	6046519099381.6875
0.4	1.08	-3905.056012563148	(5.7705580371300194e-08+0j)	6986235586048.89	58809413.51678773	6986294395462.406
0.4	1.12	-4049.6877167321536	(6.205922498093192e-08+0j)	8035959524927.654	68047012.64714468	8036027571940.302
0.4	1.16	-4194.319420901159	(6.657118394000474e-08+0j)	9203973718181.045	78331279.82206872	9204052049460.867
0.4	1.2	-4338.951125070164	(7.124145724851875e-08+0j)	10498910391496.367	89738367.40036777	10499000129863.768
0.4	1.24	-4483.58282923917	(7.60700449064739e-08+0j)	11929701148971.832	102347099.75343966	11929803496071.586
0.4	1.28	-4628.214533408176	(8.105694691387022e-08+0j)	13505577389946.545	116238973.26527241	13505693628919.81
0.4	1.32	-4772.846237577181	(8.620216327070768e-08+0j)	15236070657334.926	131498156.33244416	15236202155491.258
0.4	1.36	-4917.477941746187	(9.150569397698631e-08+0j)	17131012929425.611	148211489.3641231	17131161140914.975
0.4	1.4000000000000001	-5062.109645915192	(9.696753903270609e-08+0j)	19200536864951.88	166468484.7820673	19200703333436.66
0.4	1.44	-5206.741350084197	(1.02587698437867e-07+0j)	21455076009469.695	186361327.0206248	21455262370796.715
0.4	1.48	-5351.373054253203	(1.083661721924691e-07+0j)	23905364969630.516	207984872.5267339	23905572954503.043
0.4	1.52	-5496.004758422208	(1.1430296029651232e-07+0j)	26562439560753.246	231436649.75992256	26562670997403.008
0.4	1.56	-5640.636462591215	(1.203980627499967e-07+0j)	29437636932135.965	256816859.19230834	29437893748995.156
0.4	1.6	-5785.268166760219	(1.266514795529222e-07+0j)	32542595673761.645	284228373.3085995	32542879902134.953
0.4	1.6400000000000001	-5929.8998709292255	(1.3306321070528892e-07+0j)	35889255907411.83	313776736.60609347	35889569684148.44
0.4	1.68	-6074.53157509823	(1.3963325620709674e-07+0j)	39489859364678.914	345570165.59467787	39490204934844.51
0.4	1.72	-6219.163279267235	(1.4636161605834573e-07+0j)	43356949453940.914	379719548.79683006	43357329173489.71
0.4	1.76	-6363.794983436241	(1.532482902590359e-07+0j)	47503371318011.94	416338446.7476173	47503787656458.69
0.4	1.8	-6508.426687605247	(1.6029327880916723e-07+0j)	51942271883895.41	455543091.99469745	51942727426987.4
0.4	1.84	-6653.058391774252	(1.6749658170873962e-07+0j)	56687099905830.61	497452389.09831625	56687597358219.71
0.4	1.8800000000000001	-6797.690095943259	(1.7485819895775325e-07+0j)	61751606002628.36	542187914.6313115	61752148190542.99
