0.2	-0.0	-0.0	-0.0	32.22295437393828	5.5984594609574225	37.8214138348957
0.2	-0.001	-14.59866074331135	-2.5000000000000004e-11	10809.417174779554	25.49442732151146	10834.911602101065
0.2	-0.002	-29.1973214866227	-1.0000000000000002e-10	361212.72797480837	226.68181328495183	361439.4097880933
0.2	-0.003	-43.795982229934054	-2.25e-10	2170482.4417944327	1029.2178112342517	2171511.659605667
0.2	-0.004	-58.3946429732454	-4.0000000000000007e-10	7286736.670323763	3131.730762308468	7289868.4010860715
0.2	-0.005	-72.99330371655677	-6.25e-10	18128662.375275847	7512.53435134827	18136174.909627195
0.2	-0.006	-87.59196445986811	-9e-10	37551686.34049464	15429.608386228598	37567115.948880866
0.2	-0.007	-102.19062520317947	-1.2250000000000002e-09	68728199.83019067	28420.53570662601	68756620.3658973
0.2	-0.008	-116.7892859464908	-1.6000000000000003e-09	115044689.68004507	48302.478558167786	115092992.15860324
0.2	-0.009000000000000001	-131.3879466898022	-2.0250000000000003e-09	180013831.21209705	77172.17024929414	180091003.38234633
0.2	-0.01	-145.98660743311353	-2.5e-09	267200412.11142153	117405.9119567192	267317818.02337825
0.2	-0.011	-160.58526817642485	-3.0249999999999994e-09	380159849.5396596	171659.5713801001	380331509.1110397
0.2	-0.012	-175.18392891973622	-3.6e-09	522388058.2274089	242868.58212447187	522630926.80953336
0.2	-0.013000000000000001	-189.7825896630476	-4.225000000000001e-09	697281449.815027	334247.9433950458	697615697.758422
0.2	-0.014	-204.38125040635893	-4.900000000000001e-09	908105887.3439993	449292.21983665583	908555179.563836
0.2	-0.015	-218.97991114967024	-5.624999999999999e-09	1157973478.2445798	591775.5414447024	1158565253.7860246
0.2	-0.016	-233.5785718929816	-6.400000000000001e-09	1450898288.2344284	765751.6035134635	1451664039.837942
0.2	-0.017	-248.17723263629298	-7.225000000000001e-09	1787714287.9984622	975553.6666049008	1788689841.6650672
0.2	-0.018000000000000002	-262.7758933796044	-8.100000000000001e-09	2171873129.9468365	1225794.5565291883	2173098924.5033655
0.2	-0.019	-277.3745541229157	-9.024999999999998e-09	2605761089.8114996	1521366.6643321884	2607282456.475832
0.2	-0.02	-291.97321486622707	-1e-08	3091578209.829454	1867441.9462871829	3093445651.775741
0.2	-0.021	-306.5718756095384	-1.1025000000000001e-08	3631342997.4689803	2269471.9238892845	3633612469.3928695
0.2	-0.022	-321.1705363528497	-1.2099999999999998e-08	4226899332.506288	2733187.6838515815	4229632520.19014
0.2	-0.023	-335.76919709616107	-1.3225000000000001e-08	4879925088.447383	3264599.878102435	4883189688.325485
0.2	-0.024	-350.36785783947244	-1.44e-08	5591942040.742801	3869998.72378353	5595812039.466584
0.2	-0.025	-364.9665185827838	-1.5625e-08	6364326695.193721	4555954.003248473	6368882649.196969
0.2	-0.026000000000000002	-379.5651793260952	-1.6900000000000002e-08	7198321725.2857895	5329315.064061762	7203651040.349852
0.2	-0.027	-394.1638400694065	-1.8225e-08	8095047756.957622	6197210.818997995	8101244967.77662
0.2	-0.028	-408.76250081271786	-1.9600000000000003e-08	9055515283.680712	7167049.746041314	9062682333.426754
0.2	-0.029	-423.36116155602923	-2.1025e-08	10080636533.94933	8246519.88838493	10088883053.837715
0.2	-0.03	-437.9598222993405	-2.2499999999999996e-08	11171096356.085146	9443588.854430802	11180539944.939577
0.2	-0.031	-452.55848304265186	-2.4025e-08	12327912080.010494	10766503.81778937	12338678583.828283
0.2	-0.032	-467.1571437859632	-2.5600000000000004e-08	13551643255.577475	12223791.51727934	13563867047.094753
0.2	-0.033	-481.7558045292746	-2.7225e-08	14842922445.009521	13824258.25692747	14856746703.266449
0.2	-0.034	-496.35446527258597	-2.8900000000000004e-08	16202338520.974764	15576989.905968575	16217915510.880732
0.2	-0.035	-510.95312601589734	-3.062500000000001e-08	17630446145.41188	17491351.89884523	17647937497.310726
0.2	-0.036000000000000004	-525.5517867592088	-3.2400000000000006e-08	19127774693.528225	19576989.235207845	19147351682.76343
0.2	-0.037	-540.15044750252	-3.4225e-08	20694836615.531216	21843826.4799145	20716680442.01113
0.2	-0.038	-554.7491082458314	-3.609999999999999e-08	22332135237.38906	24302067.76303099	22356437305.152092
0.2	-0.039	-569.3477689891428	-3.8025e-08	24040172008.897427	26962196.779830627	24067134205.677258
0.2	-0.04	-583.9464297324541	-4e-08	25819453212.807076	29834976.79079435	25849288189.59787
0.2	-0.041	-598.5450904757654	-4.2025e-08	27670496152.959938	32931450.62161054	27703427603.581547
0.2	-0.042	-613.1437512190768	-4.4100000000000004e-08	29593834842.489517	36262940.66317521	29630097783.15269
0.2	-0.043000000000000003	-627.7424119623881	-4.622500000000001e-08	31590025215.33901	39841048.87159172	31629866264.2106
0.2	-0.044	-642.3410727056994	-4.839999999999999e-08	33659649885.789993	43677656.76817094	33703327542.558163
0.2	-0.045	-656.9397334490108	-5.0625e-08	35803322481.51274	47784925.439431235	35851107406.95217
0.2	-0.046	-671.5383941923221	-5.2900000000000004e-08	38021691575.956924	52175295.53709838	38073866871.494026
0.2	-0.047	-686.1370549356335	-5.5225e-08	40315444245.80572	56861487.27810545	40372305733.083824
0.2	-0.048	-700.7357156789449	-5.76e-08	42685309278.79533	61856500.44459317	42747165779.23992
0.2	-0.049	-715.3343764222562	-6.0025e-08	45132060056.53342	67173614.38390933	45199233670.91733
0.2	-0.05	-729.9330371655676	-6.25e-08	47656517136.09239	72826388.00860947	47729343524.101
0.2	-0.051000000000000004	-744.531697908879	-6.502500000000001e-08	50259550553.159485	78828659.79645634	50338379212.95594
